#SNR;mcs;nb_rb;TBS;rate;errors[0];trials[0];errors[1];trials[1];errors[2];trials[2];errors[3];trials[3]
0.000000;0;25;680;0.080952;10;10;9;10;4;9;0;4
0.200000;0;25;680;0.080952;10;10;10;10;7;10;0;7
0.400000;0;25;680;0.080952;10;10;7;10;2;7;0;2
0.600000;0;25;680;0.080952;10;10;6;10;4;6;0;4
0.800000;0;25;680;0.080952;10;10;6;10;2;6;0;2
1.000000;0;25;680;0.080952;10;10;7;10;2;7;0;2
1.200000;0;25;680;0.080952;10;10;4;10;0;4;0;0
1.400000;0;25;680;0.080952;9;10;4;9;1;4;0;1
1.600000;0;25;680;0.080952;9;10;3;9;2;3;0;2
1.800000;0;25;680;0.080952;7;10;4;7;1;4;0;1
2.000000;0;25;680;0.080952;7;10;3;7;2;3;0;2
2.200000;0;25;680;0.080952;7;10;1;7;0;1;0;0
2.400000;0;25;680;0.080952;5;10;2;5;0;2;0;0
2.600000;0;25;680;0.080952;3;10;1;3;1;1;0;1
2.800000;0;25;680;0.080952;1;10;0;1;0;0;0;0
3.000000;0;25;680;0.080952;1;10;0;1;0;0;0;0
3.200000;0;25;680;0.080952;1;10;0;1;0;0;0;0
3.400000;0;25;680;0.080952;0;10;0;0;0;0;0;0
