SNR; MCS; TBS; rate; err0; trials0; err1; trials1; err2; trials2; err3; trials3; dci_err
0.000000;0;680;0.000000;189;502;77;189;0;0;0;0;189
1.000000;0;680;0.000000;161;502;63;161;0;0;0;0;161
2.000000;0;680;0.000000;124;502;25;124;0;0;0;0;124
3.000000;0;680;0.000000;100;632;19;100;0;0;0;0;100
4.000000;0;680;0.000000;100;895;12;100;0;0;0;0;100
5.000000;0;680;0.000000;69;1000;7;69;0;0;0;0;69
6.000000;0;680;0.000000;48;1000;2;48;0;0;0;0;48
7.000000;0;680;0.000000;44;1000;2;44;0;0;0;0;44
8.000000;0;680;0.000000;28;1000;0;28;0;0;0;0;28
9.000000;0;680;0.000000;13;1000;0;13;0;0;0;0;13
10.000000;0;680;0.000000;13;1000;0;13;0;0;0;0;13
11.000000;0;680;0.000000;7;1000;0;7;0;0;0;0;7
